topology,K,seed,R_mean,R_std,cluster_mean,cluster_std,dominant_cluster,dominant_fraction,switching_rate,memory_score,reorganization_score
all_to_all,0.8,8,0.8019297380662808,7.9523997657901e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,9,0.8218746997826658,9.370696699368129e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,10,0.8398367482223469,3.3905160804014016e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,11,0.8460102220820905,1.1320529003844825e-05,2.0,0.0,2,1.0,0.0,1.0,0.0
all_to_all,0.8,12,0.8262822767383461,7.144608598075024e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,13,0.800059466899307,4.033176672560118e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,14,0.8412040101550995,1.9612159568111823e-07,2.0,0.0,2,1.0,0.0,1.0,0.0
all_to_all,0.8,15,0.8154461890465439,1.1296308754390344e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,16,0.8260673495377393,2.217763868924895e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,17,0.8222380398385291,2.24371657900293e-05,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,18,0.7999115396347606,4.051931778404906e-06,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.8,19,0.8306555871380754,1.8478240093921974e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.85,0,0.8578260861189619,2.5523823617462574e-06,2.0,0.0,2,1.0,0.0,1.0,0.0
all_to_all,0.85,1,0.887100436554908,1.4792664808796703e-08,2.0,0.0,2,1.0,0.0,1.0,0.0
all_to_all,0.85,2,0.8446692218008475,1.339833173166761e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.85,3,0.8529649003727231,1.9491573982221467e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.85,4,0.8498874279873594,1.305390875951884e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.85,5,0.8653574127618743,3.4811099983108548e-09,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.85,6,0.8419213089468366,5.2817074232337094e-08,2.0,0.0,2,1.0,0.0,1.0,0.0
all_to_all,0.85,7,0.8792822184551943,1.3088374216608273e-08,2.0,0.0,2,1.0,0.0,1.0,0.0
all_to_all,0.85,8,0.8373000316282453,1.6807779308547388e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.85,9,0.8520055690251709,1.2853513630873439e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.85,10,0.8654625032993738,7.87717785099834e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.85,11,0.8700077983766009,2.5698558812318613e-07,2.0,0.0,2,1.0,0.0,1.0,0.0
all_to_all,0.85,12,0.8549246343062359,1.5957888412984678e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.85,13,0.833628714065012,5.6062772642007025e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.85,14,0.8672415972117713,2.4789440751029337e-09,2.0,0.0,2,1.0,0.0,1.0,0.0
all_to_all,0.85,15,0.8484822829690588,4.992749495277144e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.85,16,0.8552401781509227,2.910628633530358e-08,2.0,0.0,2,1.0,0.0,1.0,0.0
all_to_all,0.85,17,0.8509695337443852,6.173479688642102e-07,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.85,18,0.8336667784969874,6.494900267254979e-08,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.85,19,0.8589279932791519,7.824343684878003e-09,1.0,0.0,1,1.0,0.0,1.0,0.0
all_to_all,0.9,0,0.8783607996221097,9.580219179329373e-08,2.0,0.0,2,1.0,0.0,1.0,0.0
all_to_all,0.9,1,0.9023850963341286,3.164560238960406e-10,2.0,0.0,2,1.0,0.0,1.0,0.0
all_to_all,0.9,2,0.8685533910653818,1.0389996794742732e-09,1.0,0.0,1,1.0,0.0,1.0,0.0
