K,seed,R_mean,R_std,dominant_cluster,dominant_fraction,switching_rate,collapse_time,memory_supported_lifetime,cluster_mean,cluster_std,single_cluster_lifetime_mean,multi_cluster_lifetime_mean,single_cluster_lifetime_max,multi_cluster_lifetime_max,n_switches
0.7,9,0.4219544797155247,0.1245872767939465,2,0.2516,0.4118,,0.111,1.8056,1.4168304909197853,2.423076923076923,1.9223367697594502,17,11,2059
0.7,10,0.5878430834627695,0.11745623050346642,5,0.2394,0.532,,0.0398,4.5492,2.0289848101944976,2.9344262295081966,1.7363707165109035,14,9,2660
0.7,11,0.4478231208337651,0.12000416132394692,0,0.2314,0.4038,,0.0398,1.9008,1.5954182398355612,2.604966139954853,1.9599125364431487,13,12,2019
0.7,12,0.4097010876751581,0.09008721283377344,1,0.2722,0.4092,,0.0398,1.6156,1.330051367429093,2.558270676691729,1.929936305732484,12,19,2046
0.7,13,0.571432908271689,0.14059631887376792,6,0.2062,0.5294,,0.0398,4.5882,2.4120988288210747,2.7578947368421054,1.6781840096424268,16,8,2647
0.7,14,0.5474476758491646,0.07948168005593026,3,0.2438,0.534,,0.0398,3.2304,1.5652845875431087,1.9365079365079365,1.799835593916975,11,13,2670
0.7,15,0.5020562813237299,0.10572326714404756,3,0.2476,0.4992,,0.0398,2.721,1.566639396925789,2.0564784053156147,1.855719031798766,14,10,2496
0.7,16,0.470004996069687,0.18438669934423635,0,0.233,0.4278,,0.069,3.264,2.3602338867154673,3.0327868852459017,1.78516228748068,14,12,2139
0.7,17,0.45443785911130524,0.12138199472048139,3,0.2054,0.447,,0.0398,2.1668,1.6334557722815761,2.4197860962566846,1.81673541543901,13,10,2235
0.7,18,0.4202552555001759,0.09989000410986547,1,0.3472,0.4086,,0.0718,1.4312,1.127859282002857,2.670769230769231,1.939585211902615,19,10,2043
0.7,19,0.4645799709719084,0.14888196054580502,0,0.2,0.4412,,0.0456,2.6406,1.88240049936245,2.3772727272727274,1.8290373487638085,13,9,2206
0.75,0,0.552868850370601,0.162190818116428,5,0.2082,0.4894,,0.0398,4.1996,2.2730947714514675,2.4705882352941178,1.806813281586891,13,10,2447
0.75,1,0.6348133706475481,0.1671285520523063,7,0.2108,0.5308,,0.0398,5.7792,2.516594397196338,2.7454545454545456,1.734399375975039,17,11,2654
0.75,2,0.5447939471075272,0.14525298747594018,5,0.2084,0.525,,0.0398,3.7878,2.0643573237208717,2.4017094017094016,1.6851098454027664,13,15,2625
0.75,3,0.5295314472206494,0.15729936229831504,4,0.2258,0.5134,,0.091,3.7278,1.9805320396297554,2.3333333333333335,1.7137030995106035,19,9,2567
0.75,4,0.6446282239007318,0.08350418692491716,6,0.2548,0.576,,0.0398,5.5706,1.7885792238533913,2.3846153846153846,1.694688709110095,7,9,2880
0.75,5,0.6082270902459231,0.1368505319905338,6,0.2192,0.5444,,0.0398,5.1508,2.3795082180988576,3.253731343283582,1.677345537757437,16,12,2722
0.75,6,0.595354849916154,0.1807245283610115,7,0.1818,0.491,,0.0398,5.2464,2.871809018719734,2.9714285714285715,1.7522426313541222,16,15,2455
0.75,7,0.5604143537559537,0.1799361919619124,5,0.196,0.4876,,0.0934,4.245,2.4130841261754634,2.5789473684210527,1.7496768634209392,13,10,2438
0.75,8,0.4947486391767222,0.16950885026697374,3,0.218,0.4844,,0.0676,2.9302,1.82508300085229,2.296511627906977,1.7494294842537654,10,9,2422
0.75,9,0.5554958840853124,0.16147263543226137,5,0.2026,0.5076,,0.0482,4.4136,2.4492723490865607,2.7011494252873565,1.700708628595248,15,9,2538
0.75,10,0.6805578763826803,0.1315692634544423,7,0.216,0.5278,,0.0398,6.5364,2.490998803693009,3.259259259259259,1.7829606784888203,12,12,2639
