seed,branch,K,R_mean,R_std,cluster_mean,cluster_std,cluster_final
1,down,1.05,0.9325441750533594,1.07426284330765e-07,1.008,0.08908422980528034,1
1,down,1.025,0.9286551246605894,1.6577903441679906e-07,1.03,0.17058722109231983,1
1,down,1.0,0.9243935678880739,2.5813573731722046e-07,1.048,0.2137662274541982,1
1,down,0.975,0.9197065251417684,4.059846211158344e-07,1.068,0.251745903640953,1
1,down,0.95,0.9145304645337746,6.456767872059895e-07,1.064,0.2447529366524537,1
1,down,0.925,0.9087884530522076,1.039737250432333e-06,1.134,0.3406523154185217,1
1,down,0.9,0.9023862866288768,1.6976517217629452e-06,1.344,0.4750410508577127,2
1,down,0.875,0.8952071219731067,2.8148852272245516e-06,1.418,0.4932301693935601,1
1,down,0.85,0.8871038472662157,4.748000013885304e-06,1.394,0.48863483297857513,1
1,down,0.825,0.8778879262318128,8.164145628306182e-06,1.324,0.46799999999999997,2
1,down,0.8,0.8673125238012597,1.4352632925726592e-05,1.284,0.45093680266751346,1
1,down,0.775,0.8550459166358283,2.5917574185394587e-05,1.188,0.39071217027371946,1
1,down,0.75,0.8406274330817275,4.845733854255953e-05,1.052,0.2220270253820467,1
1,down,0.725,0.8233897727414287,9.521907375231567e-05,1.0,0.0,1
1,down,0.7,0.8023133392155173,0.0002061268439642477,1.0,0.0,1
1,down,0.675,0.7757996258343172,0.0006571921064501672,1.0,0.0,1
1,down,0.65,0.7411099309519175,0.0012756309246365726,1.0,0.0,1
1,down,0.625,0.6915138630217393,0.0036612244338856655,1.5,0.5,2
1,down,0.6,0.6139551242989434,0.01097269831204792,1.868,0.8065829157625395,2
1,down,0.575,0.467912158856382,0.03540513435162219,1.77,1.1717934971657764,1
1,down,0.55,0.38831719280692956,0.1123026875370897,0.56,1.1019981851164729,4
1,down,0.525,0.35790142090771987,0.014435495681822692,0.134,0.34647366422283815,0
1,down,0.5,0.31298947563275603,0.023856726563224833,0.018,0.132951118836962,0
1,down,0.475,0.25013678559600544,0.06229499889606179,0.064,0.2605839595984373,0
1,down,0.45,0.25130529892191755,0.02978232951839673,0.0,0.0,0
1,down,0.425,0.11491364733668717,0.029647406752492677,0.0,0.0,0
1,down,0.4,0.021775485190642548,0.019691891091855374,0.0,0.0,0
2,up,0.4,0.12445104889059486,0.03487771928665006,0.0,0.0,0
2,up,0.425,0.12265485177696378,0.04066852849985515,0.0,0.0,0
2,up,0.45,0.11096347967982188,0.03986118341385927,0.004,0.063118935352238,0
2,up,0.475,0.1420451703454934,0.03362008619509316,0.0,0.0,0
2,up,0.5,0.09214412351184695,0.01503037598297048,0.0,0.0,0
2,up,0.525,0.08996165269217622,0.03896174896823882,0.004,0.063118935352238,0
2,up,0.55,0.20758377375039727,0.032614984539009316,0.0,0.0,0
2,up,0.575,0.2045483839546793,0.07711406344367001,0.026,0.15913516267626085,0
2,up,0.6,0.2552767265750985,0.0878038276486034,0.012,0.10888526071052959,0
2,up,0.625,0.33974136882245237,0.062137019134748776,0.296,0.6295903430009072,0
2,up,0.65,0.44847286774476924,0.048783480375398355,1.642,1.1738125915153577,1
2,up,0.675,0.44051848974047403,0.016471992908612423,1.878,0.9225594831771012,0
2,up,0.7,0.6249458389417162,0.012779694508870098,2.786,0.9737576700596509,2
2,up,0.725,0.718437420873528,0.0025081825476284043,1.0,0.0,1
2,up,0.75,0.7597836960372895,0.0005897071760890965,1.0,0.0,1
2,up,0.775,0.7888357958460662,0.00020786201141422166,1.0,0.0,1
2,up,0.8,0.8113169854489933,9.604863009821244e-05,1.0,0.0,1
2,up,0.825,0.8295120534770645,4.663992736385478e-05,1.0,0.0,1
2,up,0.85,0.8446496011716372,2.3970848804480227e-05,1.0,0.0,1
2,up,0.875,0.8574915644952091,1.2857782155168345e-05,1.0,0.0,1
2,up,0.9,0.8685482231053531,7.134948790128321e-06,1.0,0.0,1
2,up,0.925,0.8781799596891767,4.07056633054783e-06,1.0,0.0,1
2,up,0.95,0.8866513390910992,2.3766085203206e-06,1.0,0.0,1
2,up,0.975,0.8941624368912849,1.4150572282891532e-06,1.0,0.0,1
2,up,1.0,0.9008681742460578,8.568665592933937e-07,1.0,0.0,1
2,up,1.025,0.9068908477625073,5.26534293330024e-07,1.0,0.0,1
2,up,1.05,0.9123285716415931,3.2775165699823736e-07,1.0,0.0,1
2,up,1.075,0.9172611493059962,2.0636372590689948e-07,1.0,0.0,1
2,up,1.1,0.9217542666946184,1.3126869237357287e-07,1.0,0.0,1
2,up,1.125,0.9258625547872301,8.42710403676414e-08,1.0,0.0,1
2,up,1.15,0.9296318697167405,5.455056691168852e-08,1.0,0.0,1
2,up,1.175,0.9331010189819046,3.557868879698496e-08,1.0,0.0,1
2,up,1.2,0.9363030876636123,2.336461131047576e-08,1.0,0.0,1
2,down,1.2,0.936303099327002,1.9648124732211281e-16,1.0,0.0,1
2,down,1.175,0.9331010540992275,3.3332159698853524e-08,1.0,0.0,1
