shuffle_id,epsilon_star,peak_score,orig_epsilon_star,orig_peak_score
430,1.0,0.5601079317357047,0.18,0.7656098373095557
431,1.0,0.4551885803076536,0.18,0.7656098373095557
432,0.0,0.37764718975821837,0.18,0.7656098373095557
433,1.0,0.48166004342970503,0.18,0.7656098373095557
434,0.0,0.5630801626606297,0.18,0.7656098373095557
435,1.0,0.46372879395436584,0.18,0.7656098373095557
436,0.82,0.39139024812754436,0.18,0.7656098373095557
437,0.92,0.3828551308039416,0.18,0.7656098373095557
438,0.0,0.4186300829933539,0.18,0.7656098373095557
439,0.48,0.4005051429523586,0.18,0.7656098373095557
440,0.0,0.44871328878097483,0.18,0.7656098373095557
441,0.0,0.4620682140311849,0.18,0.7656098373095557
442,0.2,0.49936252816482507,0.18,0.7656098373095557
443,0.0,0.6423002964154697,0.18,0.7656098373095557
444,0.0,0.6587669604510815,0.18,0.7656098373095557
445,0.54,0.34918048292968185,0.18,0.7656098373095557
446,0.26,0.49995667283412143,0.18,0.7656098373095557
447,1.0,0.5353169583134387,0.18,0.7656098373095557
448,1.0,0.734916789642522,0.18,0.7656098373095557
449,0.56,0.44701185284854716,0.18,0.7656098373095557
450,0.0,0.4608077598044573,0.18,0.7656098373095557
451,0.0,0.454412646763669,0.18,0.7656098373095557
452,0.0,0.4304526922362656,0.18,0.7656098373095557
453,0.26,0.38544829017493343,0.18,0.7656098373095557
454,0.88,0.4606859295106107,0.18,0.7656098373095557
455,0.2,0.3444362857536028,0.18,0.7656098373095557
456,1.0,0.46278330059630207,0.18,0.7656098373095557
457,1.0,0.4492854065763346,0.18,0.7656098373095557
458,0.34,0.42227878667187146,0.18,0.7656098373095557
459,0.3,0.5441082375711808,0.18,0.7656098373095557
460,0.14,0.40089791740585495,0.18,0.7656098373095557
461,1.0,0.615356148759513,0.18,0.7656098373095557
462,1.0,0.35219311143837534,0.18,0.7656098373095557
463,0.06,0.3514084814013968,0.18,0.7656098373095557
464,1.0,0.5109299906084217,0.18,0.7656098373095557
465,0.0,0.5117523976767016,0.18,0.7656098373095557
466,0.52,0.38631188249048193,0.18,0.7656098373095557
467,0.22,0.4435946770268964,0.18,0.7656098373095557
468,1.0,0.5217098115495147,0.18,0.7656098373095557
469,0.0,0.44318538778639704,0.18,0.7656098373095557
470,0.0,0.39376438092707844,0.18,0.7656098373095557
471,0.22,0.5555857306321337,0.18,0.7656098373095557
472,0.6,0.3791358844121221,0.18,0.7656098373095557
473,0.2,0.42298981353523435,0.18,0.7656098373095557
474,0.1,0.42666274506336915,0.18,0.7656098373095557
475,0.0,0.49147406378351516,0.18,0.7656098373095557
476,0.38,0.35344704761046886,0.18,0.7656098373095557
477,0.24,0.41436257212232847,0.18,0.7656098373095557
478,0.42,0.34145370026696287,0.18,0.7656098373095557
479,0.92,0.38529827358501184,0.18,0.7656098373095557
480,0.16,0.6804520732195015,0.18,0.7656098373095557
481,0.4,0.45705941367749336,0.18,0.7656098373095557
482,0.08,0.4491415098025183,0.18,0.7656098373095557
483,0.68,0.4186824503157339,0.18,0.7656098373095557
484,1.0,0.5573770864758809,0.18,0.7656098373095557
485,1.0,0.4148213751913656,0.18,0.7656098373095557
486,0.68,0.46656551373344857,0.18,0.7656098373095557
487,1.0,0.4952001774309246,0.18,0.7656098373095557
488,1.0,0.5306800535993349,0.18,0.7656098373095557
489,0.4,0.4002094935304972,0.18,0.7656098373095557
490,0.7,0.38777166608310604,0.18,0.7656098373095557
491,0.0,0.6139082721118769,0.18,0.7656098373095557
492,0.42,0.43990459495729817,0.18,0.7656098373095557
493,0.5,0.43457698272191186,0.18,0.7656098373095557
