run,direction,K,R_mean,R_std
14,forward,1.1500000000000001,0.9988043185610849,1.620634092824684e-16
14,forward,1.2,0.9977223902844488,1.821183174448433e-16
15,forward,0.2,0.9662126442046983,0.0006882871065800046
15,forward,0.25,0.9540919785696815,3.700154240428921e-05
15,forward,0.30000000000000004,0.9869514066864091,3.9291284992381087e-07
15,forward,0.35000000000000003,0.9861362458129493,1.2759593139663871e-06
15,forward,0.4,0.9880218829375819,3.6465780158209264e-08
15,forward,0.45,0.99396333762174,2.9273006249261073e-08
15,forward,0.5,0.9961440354275136,1.191394527952023e-09
15,forward,0.55,0.9972864091096437,1.494003146223967e-10
15,forward,0.6000000000000001,0.9972114981957185,3.249809666666921e-10
15,forward,0.65,0.9971895948863693,9.235050032870289e-12
15,forward,0.7,0.9927834939878539,1.132933048108739e-10
15,forward,0.75,0.9992551820058508,7.093488294522362e-13
15,forward,0.8,0.9970686001036004,2.36863981361521e-13
15,forward,0.8500000000000001,0.9992867094356156,2.8611497807963338e-15
15,forward,0.9000000000000001,0.9989753069533844,3.7805517191303084e-14
15,forward,0.95,0.998056095456159,6.989569654775083e-15
15,forward,1.0,0.9992625770006774,2.3895772161891394e-15
15,forward,1.05,0.9989816015581825,6.556036954253543e-16
15,forward,1.1,0.9989008443973512,1.5595900501194065e-16
15,forward,1.1500000000000001,0.9993602588440558,1.4076209457043426e-16
15,forward,1.2,0.998594856984696,1.1533323956793423e-16
16,forward,0.2,0.9469782495017897,0.0003609019551439181
16,forward,0.25,0.9878417640686602,2.774064668984087e-06
16,forward,0.30000000000000004,0.9773000320069146,6.186793407915404e-06
16,forward,0.35000000000000003,0.9800651025737814,1.1706411704947649e-07
16,forward,0.4,0.9936884491957577,1.000573263488991e-07
16,forward,0.45,0.9931289290254348,2.5524607375628357e-09
16,forward,0.5,0.9951090858604705,1.0649825974375409e-09
16,forward,0.55,0.9976336211234779,6.880595161490798e-10
16,forward,0.6000000000000001,0.9961356993570454,3.9747192846269666e-10
16,forward,0.65,0.9981439032806656,7.497175143953658e-12
16,forward,0.7,0.9973788100693054,1.1931508325297385e-11
16,forward,0.75,0.9972384983434728,1.1523537920512678e-11
16,forward,0.8,0.9967010756187146,4.344822331220616e-13
16,forward,0.8500000000000001,0.9984369794476649,7.34429164365892e-14
16,forward,0.9000000000000001,0.9986020212857901,4.347641940584659e-14
16,forward,0.95,0.9981829176066704,5.185201125866735e-15
16,forward,1.0,0.9990881448852698,1.226754577883193e-15
16,forward,1.05,0.9992425248224076,1.7492619859936475e-16
16,forward,1.1,0.99900850357041,1.4464889531490703e-16
16,forward,1.1500000000000001,0.9992449492028701,3.296103640909676e-16
16,forward,1.2,0.999142890570835,1.0385185452638061e-16
17,forward,0.2,0.9328016196112406,0.00022285611388309044
17,forward,0.25,0.9827072241555487,6.343395976318269e-06
