seed,K,outsider_fraction,local_boost,R,state
12,0.42500000000000004,0.05,1.0,0.8756062458808798,dual_cluster
12,0.45,0.05,1.0,0.9138453159034029,dual_cluster
12,0.47500000000000003,0.05,1.0,0.8810050272050111,dual_cluster
12,0.5,0.05,1.0,0.8538641928523621,dual_cluster
12,0.525,0.05,1.0,0.9464052253764823,dual_cluster
12,0.55,0.05,1.0,0.8898546278023834,dual_cluster
12,0.575,0.05,1.0,0.916184937737398,dual_cluster
12,0.6,0.05,1.0,0.9073686654261651,dual_cluster
12,0.625,0.05,1.0,0.9117679978393847,dual_cluster
12,0.65,0.05,1.0,0.916722021535424,dual_cluster
12,0.675,0.05,1.0,0.9213584292018461,dual_cluster
12,0.7,0.05,1.0,0.9257115967523789,dual_cluster
12,0.725,0.05,1.0,0.9298039860721504,dual_cluster
12,0.75,0.05,1.0,0.933650720354881,dual_cluster
12,0.7749999999999999,0.05,1.0,0.9372629220946868,dual_cluster
12,0.8,0.05,1.0,0.9406500338816419,dual_cluster
12,0.825,0.05,1.0,0.9438212448543162,dual_cluster
12,0.85,0.05,1.0,0.9467862057548551,dual_cluster
12,0.875,0.05,1.0,0.9495552452545932,dual_cluster
12,0.8999999999999999,0.05,1.0,0.9521392864537612,dual_cluster
12,0.9249999999999999,0.05,1.0,0.9545496195494646,dual_cluster
12,0.95,0.05,1.0,0.9567976353793131,dual_cluster
12,0.975,0.05,1.0,0.958894579584941,dual_cluster
12,1.0,0.05,1.0,0.9608513545312746,dual_cluster
12,1.025,0.05,1.0,0.9626783757895999,dual_cluster
12,1.0499999999999998,0.05,1.0,0.9643854791440827,dual_cluster
12,1.075,0.05,1.0,0.965981869472872,dual_cluster
12,1.1,0.05,1.0,0.967476101846221,dual_cluster
12,1.125,0.05,1.0,0.9688760859710779,dual_cluster
12,1.15,0.05,1.0,0.9701891066058771,dual_cluster
12,1.1749999999999998,0.05,1.0,0.9714218541844338,dual_cluster
12,1.2,0.05,1.0,0.9725804613494764,dual_cluster
13,0.4,0.05,1.0,0.8350296315704059,dual_cluster
13,0.42500000000000004,0.05,1.0,0.9247280062592885,absorbed
13,0.45,0.05,1.0,0.8563377951065935,dual_cluster
13,0.47500000000000003,0.05,1.0,0.9410223362346154,absorbed
13,0.5,0.05,1.0,0.8976873538437604,dual_cluster
13,0.525,0.05,1.0,0.8834062281739342,fragmented
13,0.55,0.05,1.0,0.9060000338386776,dual_cluster
13,0.575,0.05,1.0,0.9400468254546589,dual_cluster
13,0.6,0.05,1.0,0.9283835567212901,dual_cluster
13,0.625,0.05,1.0,0.9149901468448816,dual_cluster
13,0.65,0.05,1.0,0.9191344668810152,dual_cluster
13,0.675,0.05,1.0,0.923220659172707,dual_cluster
13,0.7,0.05,1.0,0.9270772721936203,dual_cluster
13,0.725,0.05,1.0,0.9307268095791872,dual_cluster
13,0.75,0.05,1.0,0.9341842614914659,dual_cluster
13,0.7749999999999999,0.05,1.0,0.9374597048636624,dual_cluster
13,0.8,0.05,1.0,0.9405603042414331,dual_cluster
13,0.825,0.05,1.0,0.943491796473917,dual_cluster
13,0.85,0.05,1.0,0.9462595002812232,dual_cluster
13,0.875,0.05,1.0,0.9488689188222451,dual_cluster
