K,kick_strength,seed,R_pre_mean,R_post_mean,R_change,cluster_pre_mean,cluster_post_mean,cluster_change,cluster_pre_mode,cluster_post_mode,cluster_shift,kick_distance,recovery_similarity,memory_loss,core_overlap,new_core_fraction,irreversibility_score,regime
0.4,0.4,8,0.07086648489324654,0.08409211206704825,0.013225627173801713,0.024666666666666667,0.02266666666666667,0.0019999999999999983,0,0,0,0.08603765836187849,0.04912064798736171,0.9508793520126383,0.8833333333333333,0.1166666666666667,1.0713524254727553,irreversible
0.4,0.4,9,0.06403404952127821,0.08070494354409354,0.016670894022815325,0.04466666666666667,0.037333333333333336,0.007333333333333331,0,0,0,0.07069990312459717,0.08380829455215924,0.9161917054478408,0.9333333333333333,0.06666666666666665,0.9888594289535446,irreversible
0.4,0.4,10,0.10346628979126055,0.09686982311705279,0.006596466674207754,0.06733333333333333,0.03933333333333333,0.027999999999999997,0,0,0,0.07487908239870322,0.06595788105824166,0.9340421189417584,0.8,0.19999999999999996,1.14269123561031,irreversible
0.4,0.4,11,0.15646160191364836,0.14655451607199807,0.009907085841650287,0.07,0.06866666666666667,0.0013333333333333391,0,0,0,0.07470227106958927,0.21663821994154556,0.7833617800584545,0.8666666666666667,0.1333333333333333,0.9195052181855337,irreversible
0.4,0.4,12,0.08498253953638653,0.11137339584987409,0.02639085631348756,0.036,0.05533333333333333,0.019333333333333334,0,0,0,0.07646068187257193,0.09016761034691625,0.9098323896530838,0.7666666666666667,0.23333333333333328,1.1545967703981224,irreversible
0.4,0.4,13,0.10143632821765704,0.09030510219686255,0.011131226020794485,0.056,0.050666666666666665,0.005333333333333336,0,0,0,0.071544980527114,0.15031773704566231,0.8496822629543377,0.9166666666666666,0.08333333333333337,0.9371317361262029,irreversible
0.4,0.4,14,0.08839690794768372,0.08242876794781304,0.0059681399998706836,0.04066666666666666,0.05533333333333333,0.014666666666666668,0,0,0,0.0694192131554271,0.09099997687179201,0.909000023128208,0.85,0.15000000000000002,1.0641587247948423,irreversible
0.4,0.4,15,0.08545806964414503,0.11371086243273794,0.028252792788592912,0.058,0.07666666666666666,0.018666666666666658,0,0,0,0.08131708391445913,0.17879901009120502,0.821200989908795,0.85,0.15000000000000002,0.9829308547726099,irreversible
0.4,0.4,16,0.08460491641213293,0.0891605751437124,0.004555658731579468,0.048,0.058,0.010000000000000002,0,0,0,0.07647264166529855,0.04395248892320102,0.956047511076799,0.9166666666666666,0.08333333333333337,1.0430197590930272,irreversible
0.4,0.4,17,0.12597026089492133,0.14175817462710422,0.015787913732182884,0.07266666666666667,0.08533333333333333,0.01266666666666666,0,0,0,0.0791239878765776,0.2043165103421844,0.7956834896578155,0.8666666666666667,0.1333333333333333,0.9361304680908612,irreversible
0.4,0.4,18,0.0931473445238972,0.13620165594611328,0.04305431142221608,0.034666666666666665,0.05,0.015333333333333338,0,0,0,0.080012374822243,0.15888798695298476,0.8411120130470152,0.9,0.09999999999999998,0.9557089242359026,irreversible
0.4,0.4,19,0.11528260354457787,0.10388988606382679,0.011392717480751074,0.07066666666666667,0.06666666666666667,0.0040000000000000036,0,0,0,0.07404470506928251,0.134890704782687,0.865109295217313,0.8833333333333333,0.1166666666666667,0.9856241412541674,irreversible
0.4,0.5,0,0.09401153766645147,0.07026072971650035,0.023750807949951117,0.03666666666666667,0.025333333333333333,0.011333333333333334,0,0,0,0.12033069666070473,0.03656621380542158,0.9634337861945784,0.8666666666666667,0.1333333333333333,1.1055381548487329,irreversible
0.4,0.5,1,0.14217452722414173,0.14232178931531145,0.00014726209116971978,0.10733333333333334,0.04666666666666667,0.06066666666666667,0,0,0,0.13063955510002467,0.24979371858495655,0.7502062814150434,0.7333333333333333,0.2666666666666667,1.0320764302711694,irreversible
0.4,0.5,2,0.10195446625585115,0.08226296416899664,0.01969150208685451,0.05466666666666667,0.044,0.010666666666666672,0,0,0,0.12537838721291605,0.09222235353154502,0.9077776464684549,0.9,0.09999999999999998,1.0153671886568352,irreversible
0.4,0.5,3,0.09355334649588794,0.1017475413135625,0.008194194817674569,0.04066666666666666,0.04066666666666666,0.0,0,0,0,0.09974093526391925,0.14459620269854612,0.8554037973014539,0.8833333333333333,0.1166666666666667,0.9741190126725392,irreversible
0.4,0.5,4,0.08825558066894033,0.14764587865640363,0.0593902979874633,0.02266666666666667,0.07733333333333334,0.05466666666666667,0,0,0,0.10851013231817641,0.12631434381424703,0.873685656185753,0.6833333333333333,0.31666666666666665,1.2188665640159524,irreversible
0.4,0.5,5,0.1258628326307061,0.12045643113129785,0.005406401499408256,0.07666666666666666,0.092,0.015333333333333338,0,0,0,0.11492066500086584,0.04950578431881909,0.9504942156811809,0.8166666666666667,0.18333333333333335,1.1390124827226997,irreversible
